RecordTime,VideoTime,Head-ShoulderCenter,ShoulderCenter-ShoulderLeft,ShoulderCenter-ShoulderRight,ShoulderLeft-ElbowLeft,ElbowLeft-WristLeft,ShoulderRight-ElbowRight,ElbowRight-WristRight,ShoulderCenter-HipCenter,HipCenter-KneeLeft,KneeLeft-AnkleLeft,HipCenter-KneeRight,KneeRight-AnkleRight
6/27/2014 10:20:39 AM,611,513,411,419,507,309,408,207,508,302,303,404,303
6/27/2014 10:20:39 AM,621,513,411,419,407,309,508,207,513,302,302,404,303
6/27/2014 10:20:39 AM,635,513,411,409,507,309,508,207,513,302,303,304,303
6/27/2014 10:20:39 AM,645,513,411,419,507,309,508,207,508,402,303,404,303
6/27/2014 10:20:39 AM,655,513,411,419,507,309,408,207,508,302,303,404,303
6/27/2014 10:20:39 AM,667,513,411,419,507,309,508,207,508,302,303,404,303
6/27/2014 10:20:39 AM,678,513,411,419,407,309,508,207,508,302,303,404,303
6/27/2014 10:20:39 AM,685,513,411,419,507,309,508,207,508,302,303,404,303
6/27/2014 10:20:39 AM,690,513,411,419,507,309,408,207,508,402,303,404,303
6/27/2014 10:20:39 AM,698,513,411,419,407,309,408,307,508,302,302,404,303
6/27/2014 10:20:39 AM,703,513,411,419,407,209,408,207,508,302,303,404,303
6/27/2014 10:20:39 AM,709,513,411,419,407,204,508,207,508,402,303,404,303
6/27/2014 10:20:39 AM,717,513,411,419,407,309,508,207,508,302,303,404,303
6/27/2014 10:20:39 AM,725,513,411,419,407,309,508,207,508,302,303,404,303
6/27/2014 10:20:39 AM,736,513,411,419,407,209,408,207,508,302,303,404,303
6/27/2014 10:20:39 AM,745,513,411,419,407,209,508,207,508,402,303,404,303
